AccountNumber,MeterID,ServiceAddress,BillingPeriodStart,BillingPeriodEnd,ReadingDate,MeterReading,Units,PreviousReading,Consumption,TariffCode,BilledAmount,Currency
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-01-17,2023-02-14,2023-02-14,45230,kWh,44010,1220,LT-2A,9760.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-02-15,2023-03-16,2023-03-16,46580,kWh,45230,1350,LT-2A,10800.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-03-17,2023-04-15,2023-04-15,48190,kWh,46580,1610,LT-2A,12880.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-04-16,2023-05-16,2023-05-16,50050,kWh,48190,1860,LT-2A,14880.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-05-17,2023-06-15,2023-06-15,52110,kWh,50050,2060,LT-2A,16480.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-06-16,2023-07-17,2023-07-17,54380,kWh,52110,2270,LT-2A,18160.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-07-18,2023-08-16,2023-08-16,56450,kWh,54380,2070,LT-2A,16560.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-08-17,2023-09-15,2023-09-15,58220,kWh,56450,1770,LT-2A,14160.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-09-16,2023-10-16,2023-10-16,59780,kWh,58220,1560,LT-2A,12480.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-10-17,2023-11-15,2023-11-15,61050,kWh,59780,1270,LT-2A,10160.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-11-16,2023-12-16,2023-12-16,62200,kWh,61050,1150,LT-2A,9200.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-12-17,2024-01-16,2024-01-16,63410,kWh,62200,1210,LT-2A,9680.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-01-20,2023-02-18,2023-02-18,128500,MWh,125.200,3.3,HT-1,264000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-02-19,2023-03-19,2023-03-19,131900,MWh,128.500,3.4,HT-1,272000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-03-20,2023-04-18,2023-04-18,135600,MWh,131.900,3.7,HT-1,296000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-04-19,2023-05-19,2023-05-19,139800,MWh,135.600,4.2,HT-1,336000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-05-20,2023-06-18,2023-06-18,144300,MWh,139.800,4.5,HT-1,360000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-06-19,2023-07-19,2023-07-19,148900,MWh,144.300,4.6,HT-1,368000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-07-20,2023-08-18,2023-08-18,153100,MWh,148.900,4.2,HT-1,336000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-08-19,2023-09-18,2023-09-18,156900,MWh,153.100,3.8,HT-1,304000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-09-19,2023-10-18,2023-10-18,160400,MWh,156.900,3.5,HT-1,280000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-10-19,2023-11-17,2023-11-17,163700,MWh,160.400,3.3,HT-1,264000.00,INR
ACC-002,MTR-B205,Plot 12 MIDC Pune Industrial Area 411057,2023-06-19,2023-07-19,2023-07-22,149100,MWh,144.300,4.8,HT-1,384000.00,INR
ACC-001,MTR-A101,Unit 4 Block B Whitefield Bangalore 560066,2023-09-16,2023-10-16,2023-10-18,59900,kWh,58220,,LT-2A,12800.00,INR
